Date,P/L,Amt,color,Returns in %,Calculated Consec. Returns in %,Calculated Consec. Returns in Decimal
2022-06-24,-2054.09,521207.5979,red,-0.005135225,9.46%,0.094644636
2022-06-27,-6600.0,514607.5979,red,-0.0165,7.81%,0.078144636
2022-06-30,6987.169,521594.7669,green,0.0174679225,9.56%,0.0956125585
2022-07-04,9928.751,531523.5179,green,0.0248218775,2.48%,0.0248218775
2022-07-05,2877.997,534401.5149,green,0.0071949925,3.20%,0.032016869999999996
2022-07-06,-8800.0,525601.5149,red,-0.022,1.00%,0.01001687
2022-07-07,-4197.92,521403.5949,red,-0.0104948,-0.05%,-0.0004779299999999997
2022-07-08,902.4267,522306.0216,green,0.00225606675,0.18%,0.0017781367500000005
2022-07-13,1719.942,524025.9636,green,0.004299855,0.61%,0.006077991750000001
2022-07-15,-6821.25,517204.7136,red,-0.017053125,-1.10%,-0.010975133249999998
2022-07-18,-6600.0,510604.7136,red,-0.0165,-2.75%,-0.02747513325
2022-07-20,9693.574,520298.2876,green,0.024233935,-0.32%,-0.003241198249999997
2022-07-21,-4400.0,515898.2876,red,-0.011,-1.42%,-0.014241198249999996
2022-07-22,26362.54,542260.8276,green,0.06590635,5.17%,0.051665151750000006
2022-07-26,-4400.0,537860.8276,red,-0.011,4.07%,0.04066515175
2022-07-28,-8800.0,529060.8276,red,-0.022,1.87%,0.018665151750000008
2022-07-29,-736.049,528324.7786,red,-0.0018401225,1.68%,0.01682502925000001
2022-08-01,-6600.0,521724.7786,red,-0.0165,-1.65%,-0.0165
2022-08-04,11448.09,533172.8686,green,0.028620225,1.21%,0.012120224999999998
2022-08-05,6467.815,539640.6836,green,0.0161695375,2.83%,0.0282897625
2022-08-08,-410.512,539230.1716,red,-0.00102628,2.73%,0.0272634825
2022-08-10,-6600.0,532630.1716,red,-0.0165,1.08%,0.010763482499999998
2022-08-11,2169.946,534800.1176,green,0.005424865,1.62%,0.0161883475
2022-08-12,-5242.86,529557.2576,red,-0.01310715,0.31%,0.003081197499999997
2022-08-16,-6600.0,522957.2576,red,-0.0165,-1.34%,-0.013418802500000004
2022-08-17,6902.799,529860.0566,green,0.0172569975,0.38%,0.0038381949999999956
2022-08-19,15228.8,545088.8566,green,0.038072,4.19%,0.041910195
2022-08-24,1937.944,547026.8006,green,0.00484486,4.68%,0.046755055
2022-08-25,7442.072,554468.8726,green,0.01860518,6.54%,0.06536023499999999
2022-08-26,-4412.47,550056.4026,red,-0.011031175,5.43%,0.05432906
2022-08-30,-8800.0,541256.4026,red,-0.022,3.23%,0.03232905999999999
2022-09-02,19888.67,561145.0726,green,0.049721675,4.97%,0.049721675
2022-09-05,-4400.0,556745.0726,red,-0.011,3.87%,0.038721675
2022-09-06,57.88103,556802.9536,green,0.000144702575,3.89%,0.038866377575
2022-09-08,20644.8,577447.7536,green,0.051612,9.05%,0.09047837757499999
2022-09-09,6815.16,584262.9136,green,0.0170379,10.75%,0.107516277575
2022-09-12,-2309.06,581953.8536,red,-0.00577265,10.17%,0.101743627575
2022-09-13,2155.825,584109.6786,green,0.0053895625,10.71%,0.107133190075
2022-09-15,2090.653,586200.3316,green,0.0052266325,11.24%,0.112359822575
2022-09-16,-2200.0,584000.3316,red,-0.0055,10.69%,0.106859822575
2022-09-19,-1925.54,582074.7916,red,-0.00481385,10.20%,0.102045972575
2022-09-20,-6600.0,575474.7916,red,-0.0165,8.55%,0.085545972575
2022-09-23,1059.588,576534.3796,green,0.00264897,8.82%,0.088194942575
2022-09-27,6263.914,582798.2936,green,0.015659785,10.39%,0.103854727575
2022-09-29,2293.703,585091.9966,green,0.0057342575,10.96%,0.109588985075
2022-09-30,-8800.0,576291.9966,red,-0.022,8.76%,0.087588985075
2022-10-03,1998.965,578290.9616,green,0.0049974125,0.50%,0.0049974125
2022-10-04,-4565.7,573725.2616,red,-0.01141425,-0.64%,-0.0064168375000000005
2022-10-06,-2536.83,571188.4316,red,-0.006342075,-1.28%,-0.0127589125
2022-10-07,8114.897,579303.3286,green,0.0202872425,0.75%,0.00752833
2022-10-11,28534.89,607838.2186,green,0.071337225,7.89%,0.078865555
2022-10-12,10750.38,618588.5986,green,0.02687595,10.57%,0.105741505
2022-10-13,494.4428,619083.0414,green,0.001236107,10.70%,0.106977612
2022-10-14,-4983.11,614099.9314,red,-0.012457775,9.45%,0.094519837
2022-10-18,-565.493,613534.4384,red,-0.0014137325,9.31%,0.09310610450000001
2022-10-19,8938.297,622472.7354,green,0.0223457425,11.55%,0.115451847
2022-10-21,-2200.0,620272.7354,red,-0.0055,11.00%,0.109951847
2022-10-25,-4007.65,616265.0854,red,-0.010019125,9.99%,0.099932722
2022-10-27,-3098.75,613166.3354,red,-0.007746875,9.22%,0.092185847
2022-10-31,-152.139,613014.1964,red,-0.0003803475,9.18%,0.0918054995
2022-11-01,9286.875,622301.0714,green,0.0232171875,2.32%,0.0232171875
2022-11-03,-2200.0,620101.0714,red,-0.0055,1.77%,0.017717187500000002
2022-11-04,-4400.0,615701.0714,red,-0.011,0.67%,0.006717187500000001
2022-11-07,-5958.88,609742.1914,red,-0.0148972,-0.82%,-0.008180012499999998
2022-11-09,1307.045,611049.2364,green,0.0032676125,-0.49%,-0.004912399999999998
2022-11-10,6567.831,617617.0674,green,0.0164195775,1.15%,0.011507177500000004
2022-11-11,-4228.67,613388.3974,red,-0.010571675,0.09%,0.0009355025000000027
2022-11-14,-6600.0,606788.3974,red,-0.0165,-1.56%,-0.015564497499999998
2022-11-15,9750.902,616539.2994,green,0.024377255,0.88%,0.008812757500000002
2022-11-16,-1415.84,615123.4594,red,-0.0035396,0.53%,0.005273157500000002
2022-11-18,-4400.0,610723.4594,red,-0.011,-0.57%,-0.005726842499999997
2022-11-21,-3204.59,607518.8694,red,-0.008011475,-1.37%,-0.013738317499999998
2022-11-22,876.7696,608395.639,green,0.002191924,-1.15%,-0.011546393499999998
2022-11-24,-4400.0,603995.639,red,-0.011,-2.25%,-0.022546393499999998
2022-11-28,2834.584,606830.223,green,0.00708646,-1.55%,-0.015459933499999998
2022-11-29,1024.164,607854.387,green,0.00256041,-1.29%,-0.012899523499999998
2022-11-30,-2200.0,605654.387,red,-0.0055,-1.84%,-0.018399523499999997
2022-12-01,-4296.11,601358.277,red,-0.010740275,-1.07%,-0.010740275
2022-12-02,3220.858,604579.135,green,0.008052145,-0.27%,-0.0026881300000000004
2022-12-05,-4401.34,600177.795,red,-0.01100335,-1.37%,-0.01369148
2022-12-07,-4400.0,595777.795,red,-0.011,-2.47%,-0.024691480000000002
2022-12-09,-2078.51,593699.285,red,-0.005196275,-2.99%,-0.029887755000000002
2022-12-13,1493.534,595192.819,green,0.003733835,-2.62%,-0.02615392
2022-12-14,2204.825,597397.644,green,0.0055120625,-2.06%,-0.0206418575
2022-12-16,3626.034,601023.678,green,0.009065085,-1.16%,-0.0115767725
2022-12-19,6213.828,607237.506,green,0.01553457,0.40%,0.003957797499999999
2022-12-21,-6600.0,600637.506,red,-0.0165,-1.25%,-0.012542202500000002
2022-12-26,1010.3,601647.806,green,0.00252575,-1.00%,-0.010016452500000002
2022-12-27,2334.045,603981.851,green,0.0058351125,-0.42%,-0.004181340000000002
2022-12-30,-4976.85,599005.001,red,-0.012442125,-1.66%,-0.016623465000000004
2023-01-02,-1045.35,398954.65,red,-0.002613375,-0.26%,-0.002613375
2023-01-03,551.7414,399506.3914,green,0.0013793535,-0.12%,-0.0012340214999999998
2023-01-05,4570.07,404076.4614,green,0.011425175,1.02%,0.0101911535
2023-01-09,-8800.0,395276.4614,red,-0.022,-1.18%,-0.0118088465
2023-01-10,-74.4141,395202.0473,red,-0.00018603525,-1.20%,-0.011994881749999999
2023-01-17,-920.687,394281.3603,red,-0.0023017175,-1.43%,-0.01429659925
2023-01-20,12704.05,406985.4103,green,0.031760125,1.75%,0.01746352575
2023-01-23,-6600.0,400385.4103,red,-0.0165,0.10%,0.0009635257499999994
2023-01-25,-2200.0,398185.4103,red,-0.0055,-0.45%,-0.00453647425
2023-01-27,-4203.29,393982.1203,red,-0.010508225,-1.50%,-0.01504469925
2023-01-30,71900.0,465882.1203,green,0.17975,16.47%,0.16470530075
2023-01-31,2085.298,467967.4183,green,0.005213245,16.99%,0.16991854575
2023-02-01,10620.04,478587.4583,green,0.0265501,2.66%,0.0265501
2023-02-03,-815.869,477771.5893,red,-0.0020396725,2.45%,0.0245104275
2023-02-06,-2226.03,475545.5593,red,-0.005565075,1.89%,0.0189453525
2023-02-07,-2200.0,473345.5593,red,-0.0055,1.34%,0.0134453525
2023-02-08,-2386.7,470958.8593,red,-0.00596675,0.75%,0.007478602500000001
2023-02-09,6003.439,476962.2983,green,0.0150085975,2.25%,0.0224872
2023-02-10,-2200.0,474762.2983,red,-0.0055,1.70%,0.0169872
2023-02-13,-4400.0,470362.2983,red,-0.011,0.60%,0.0059872000000000015
2023-02-14,-2200.0,468162.2983,red,-0.0055,0.05%,0.00048720000000000187
2023-02-15,14841.14,483003.4383,green,0.03710285,3.76%,0.03759005
2023-02-16,9634.569,492638.0073,green,0.0240864225,6.17%,0.061676472499999996
2023-02-20,-2200.0,490438.0073,red,-0.0055,5.62%,0.0561764725
2023-02-21,-2200.0,488238.0073,red,-0.0055,5.07%,0.0506764725
2023-02-23,-761.085,487476.9223,red,-0.0019027125,4.88%,0.04877376
2023-02-24,19632.44,507109.3623,green,0.0490811,9.79%,0.09785486
2023-03-01,-4400.0,502709.3623,red,-0.011,-1.10%,-0.011
2023-03-02,3729.85,506439.2123,green,0.009324625,-0.17%,-0.0016753749999999998
2023-03-03,-8800.0,497639.2123,red,-0.022,-2.37%,-0.023675375
2023-03-06,3903.965,501543.1773,green,0.0097599125,-1.39%,-0.013915462499999998
2023-03-08,-3268.65,498274.5273,red,-0.008171625,-2.21%,-0.022087087499999998
2023-03-09,11574.62,509849.1473,green,0.02893655,0.68%,0.0068494625
2023-03-13,12985.82,522834.9673,green,0.03246455,3.93%,0.0393140125
2023-03-15,21066.97,543901.9373,green,0.052667425,9.20%,0.0919814375
2023-03-16,-6600.0,537301.9373,red,-0.0165,7.55%,0.0754814375
2023-03-17,2894.76,540196.6973,green,0.0072369,8.27%,0.0827183375
2023-03-20,13607.47,553804.1673,green,0.034018675,11.67%,0.11673701249999999
2023-03-21,-5365.45,548438.7173,red,-0.013413625,10.33%,0.10332338749999999
2023-03-22,16785.13,565223.8473,green,0.041962825,14.53%,0.1452862125
2023-03-24,67.55564,565291.4029,green,0.0001688891,14.55%,0.1454551016
2023-03-31,2050.873,567342.2759,green,0.0051271825,15.06%,0.1505822841
2023-04-03,1547.799,568890.0749,green,0.0038694975,0.39%,0.0038694975
2023-04-05,10989.56,579879.6349,green,0.0274739,3.13%,0.0313433975
2023-04-06,-4400.0,575479.6349,red,-0.011,2.03%,0.0203433975
2023-04-10,-2580.05,572899.5849,red,-0.006450125,1.39%,0.013893272499999998
2023-04-11,7723.339,580622.9239,green,0.0193083475,3.32%,0.03320162
2023-04-12,15436.48,596059.4039,green,0.0385912,7.18%,0.07179282
2023-04-13,-4400.0,591659.4039,red,-0.011,6.08%,0.06079282
2023-04-17,3562.135,595221.5389,green,0.0089053375,6.97%,0.0696981575
2023-04-20,-2200.0,593021.5389,red,-0.0055,6.42%,0.06419815749999999
2023-04-21,2008.677,595030.2159,green,0.0050216925,6.92%,0.06921985
2023-04-24,181.6685,595211.8844,green,0.00045417125,6.97%,0.06967402125
2023-04-25,-4400.0,590811.8844,red,-0.011,5.87%,0.05867402125
2023-04-26,-2200.0,588611.8844,red,-0.0055,5.32%,0.053174021249999995
2023-04-27,-3397.49,585214.3944,red,-0.008493725,4.47%,0.044680296249999994
2023-04-28,7035.91,592250.3044,green,0.017589775,6.23%,0.062270071249999996
2023-05-02,-3315.24,588935.0644,red,-0.0082881,-0.83%,-0.0082881
2023-05-03,2940.431,591875.4954,green,0.0073510775,-0.09%,-0.0009370224999999998
2023-05-04,-1293.27,590582.2254,red,-0.003233175,-0.42%,-0.0041701975
2023-05-05,-2305.64,588276.5854,red,-0.0057641,-0.99%,-0.0099342975
2023-05-08,-2144.96,586131.6254,red,-0.0053624,-1.53%,-0.0152966975
2023-05-09,-4400.0,581731.6254,red,-0.011,-2.63%,-0.0262966975
2023-05-10,-151.468,581580.1574,red,-0.00037867,-2.67%,-0.026675367499999998
2023-05-11,-7011.89,574568.2674,red,-0.017529725,-4.42%,-0.0442050925
2023-05-12,1149.591,575717.8584,green,0.0028739775,-4.13%,-0.041331114999999995
2023-05-15,716.0072,576433.8656,green,0.001790018,-3.95%,-0.039541097
2023-05-16,-8800.0,567633.8656,red,-0.022,-6.15%,-0.061541096999999996
2023-05-17,11809.99,579443.8556,green,0.029524975,-3.20%,-0.032016121999999994
2023-05-18,23460.23,602904.0856,green,0.058650575,2.66%,0.026634453000000002
2023-05-19,-315.651,602588.4346,red,-0.0007891275,2.58%,0.025845325500000002
2023-05-22,-4400.0,598188.4346,red,-0.011,1.48%,0.014845325500000003
2023-05-23,5350.984,603539.4186,green,0.01337746,2.82%,0.028222785500000003
2023-05-24,14640.27,618179.6886,green,0.036600675,6.48%,0.0648234605
2023-05-25,3916.719,622096.4076,green,0.0097917975,7.46%,0.074615258
2023-05-26,-2200.0,619896.4076,red,-0.0055,6.91%,0.069115258
2023-05-29,-1763.16,618133.2476,red,-0.0044079,6.47%,0.06470735799999999
2023-05-31,-4400.0,613733.2476,red,-0.011,5.37%,0.053707358
2023-06-01,-2109.96,611623.2876,red,-0.0052749,-0.53%,-0.0052749
2023-06-02,10851.33,622474.6176,green,0.027128325,2.19%,0.021853425
2023-06-05,-4400.0,618074.6176,red,-0.011,1.09%,0.010853425
2023-06-06,3572.079,621646.6966,green,0.0089301975,1.98%,0.0197836225
2023-06-07,-4400.0,617246.6966,red,-0.011,0.88%,0.008783622500000001
2023-06-08,36947.36,654194.0566,green,0.0923684,10.12%,0.10115202250000001
2023-06-09,399.3689,654593.4255,green,0.00099842225,10.22%,0.10215044475000001
2023-06-12,-2344.8,652248.6255,red,-0.005862,9.63%,0.09628844475000001
2023-06-13,-504.046,651744.5795,red,-0.001260115,9.50%,0.09502832975
2023-06-14,-1367.14,650377.4395,red,-0.00341785,9.16%,0.09161047975
2023-06-15,-313.738,650063.7015,red,-0.000784345,9.08%,0.09082613475000001
2023-06-16,-3772.35,646291.3515,red,-0.009430875,8.14%,0.08139525975
2023-06-19,-2644.44,643646.9115,red,-0.0066111,7.48%,0.07478415975000001
2023-06-20,-954.012,642692.8995,red,-0.00238503,7.24%,0.07239912975000001
2023-06-21,-914.706,641778.1935,red,-0.002286765,7.01%,0.07011236475
2023-06-22,18039.23,659817.4235,green,0.045098075,11.52%,0.11521043975
2023-06-26,-3214.8,656602.6235,red,-0.008037,10.72%,0.10717343975000002
2023-06-27,-2457.03,654145.5935,red,-0.006142575,10.10%,0.10103086475
2023-06-28,2026.222,656171.8155,green,0.005065555,10.61%,0.10609641975
2023-06-30,-6600.0,649571.8155,red,-0.0165,8.96%,0.08959641975000002
2023-07-03,1540.367,651112.1825,green,0.0038509175,0.39%,0.0038509175
2023-07-04,-6600.0,644512.1825,red,-0.0165,-1.26%,-0.0126490825
2023-07-05,4929.525,649441.7075,green,0.0123238125,-0.03%,-0.00032527000000000077
2023-07-06,2041.713,651483.4205,green,0.0051042825,0.48%,0.004779012499999999
2023-07-07,3401.026,654884.4465,green,0.008502565,1.33%,0.013281577499999999
2023-07-11,-2200.0,652684.4465,red,-0.0055,0.78%,0.007781577499999999
2023-07-13,-6600.0,646084.4465,red,-0.0165,-0.87%,-0.008718422500000001
2023-07-14,-4583.9,641500.5465,red,-0.01145975,-2.02%,-0.0201781725
2023-07-17,13939.16,655439.7065,green,0.0348479,1.47%,0.0146697275
2023-07-18,1774.813,657214.5195,green,0.0044370325,1.91%,0.01910676
2023-07-19,-2068.26,655146.2595,red,-0.00517065,1.39%,0.013936110000000002
2023-07-20,7002.381,662148.6405,green,0.0175059525,3.14%,0.031442062500000006
2023-07-21,-4400.0,657748.6405,red,-0.011,2.04%,0.020442062500000004
2023-07-24,-4454.71,653293.9305,red,-0.011136775,0.93%,0.009305287500000004
2023-07-25,6693.629,659987.5595,green,0.0167340725,2.60%,0.026039360000000004
2023-07-26,-6600.0,653387.5595,red,-0.0165,0.95%,0.00953936
2023-07-27,-8800.0,644587.5595,red,-0.022,-1.25%,-0.012460639999999999
2023-07-28,-4400.0,640187.5595,red,-0.011,-2.35%,-0.023460639999999998
2023-07-31,-5762.94,634424.6195,red,-0.01440735,-3.79%,-0.03786799
2023-08-01,6696.31,641120.9295,green,0.016740775,1.67%,0.016740775
2023-08-02,-2200.0,638920.9295,red,-0.0055,1.12%,0.011240775
2023-08-03,9200.025,648120.9545,green,0.0230000625,3.42%,0.0342408375
2023-08-04,7263.12,655384.0745,green,0.0181578,5.24%,0.052398637500000005
2023-08-07,-4400.0,650984.0745,red,-0.011,4.14%,0.0413986375
2023-08-08,3274.765,654258.8395,green,0.0081869125,4.96%,0.049585550000000006
2023-08-09,16702.09,670960.9295,green,0.041755225,9.13%,0.09134077500000001
2023-08-10,-4400.0,666560.9295,red,-0.011,8.03%,0.080340775
2023-08-11,4133.139,670694.0685,green,0.0103328475,9.07%,0.09067362250000001
2023-08-14,-4400.0,666294.0685,red,-0.011,7.97%,0.07967362250000001
2023-08-16,-2200.0,664094.0685,red,-0.0055,7.42%,0.07417362250000001
2023-08-17,5753.651,669847.7195,green,0.0143841275,8.86%,0.08855775
2023-08-21,2802.742,672650.4615,green,0.007006855,9.56%,0.09556460500000001
2023-08-22,-6600.0,666050.4615,red,-0.0165,7.91%,0.07906460500000001
2023-08-23,-4224.77,661825.6915,red,-0.010561925,6.85%,0.06850268000000001
2023-08-24,23406.29,685231.9815,green,0.058515725,12.70%,0.127018405
2023-08-25,-2200.0,683031.9815,red,-0.0055,12.15%,0.121518405
2023-08-28,510.0993,683542.0808,green,0.00127524825,12.28%,0.12279365325
2023-08-29,2826.69,686368.7708,green,0.007066725,12.99%,0.12986037825
2023-08-30,5316.264,691685.0348,green,0.01329066,14.32%,0.14315103825
2023-08-31,1083.719,692768.7538,green,0.0027092975,14.59%,0.14586033575000001
